"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42003","2940","Allegheny PA","INDIANA TWP DIST 04*",1354,1,1 
"42003","2950","Allegheny PA","INDIANA TWP DIST 05*",1277,1,1 
"42003","2961","Allegheny PA","INGRAM DIST 01*",1198,1,1 
"42003","2971","Allegheny PA","INGRAM DIST 02*",826,1,1 
"42003","2981","Allegheny PA","INGRAM DIST 03*",1306,1,1 
"42003","3000","Allegheny PA","JEFFERSON HILLS DIST 01",1892,1,1 
"42003","3010","Allegheny PA","JEFFERSON HILLS DIST 02",1445,1,1 
"42003","3021","Allegheny PA","JEFFERSON HILLS DIST 03",853,1,1 
"42003","3031","Allegheny PA","JEFFERSON HILLS DIST 04",908,1,1 
"42003","3051","Allegheny PA","JEFFERSON HILLS DIST 06",1289,1,1 
"42003","3060","Allegheny PA","JEFFERSON HILLS DIST 07",471,1,1 
"42003","3070","Allegheny PA","JEFFERSON HILLS DIST 08*",1058,1,1 
"42003","3080","Allegheny PA","JEFFERSON HILLS DIST 05",2703,1,1 
"42003","3091","Allegheny PA","KENNEDY TWP DIST 01*",2030,1,1 
"42003","3095","Allegheny PA","KENNEDY TWP DIST 02*",921,1,1 
"42003","3101","Allegheny PA","KENNEDY TWP DIST 03*",1202,1,1 
"42003","3120","Allegheny PA","KENNEDY TWP DIST 04*",473,1,1 
"42003","3125","Allegheny PA","KENNEDY TWP DIST 05*",1363,1,1 
"42003","3131","Allegheny PA","KENNEDY TWP DIST 06*",1030,1,1 
